Rk,Player,Tm,s201617,s201718,s201819,s201920,s202021,s202122,Signed Using,Guaranteed
95,Andrew Bogut,DAL,$11027027,,,,,,Bird Rights,$11027027
96,Joe Johnson,UTA,$11000000,$10505000,,,,,Cap Space,$21505000
97,Austin Rivers,LAC,$11000000,$11825000,$12650000,,,,Cap Space,$22825000
98,Jon Leuer,DET,$10991957,$10497319,$10002681,$9508043,,,Cap Space,$41000000
99,Monta Ellis,IND,$10770000,$11230000,$11700000,,,,Cap Space,$22000000
100,Mirza Teletovic,MIL,$10500000,$10500000,$10500000,,,,Cap Space,$31500000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
101,Jared Dudley,PHO,$10470000,$10000000,$9530000,,,,Cap Space,$30000000
102,Zach Randolph,MEM,$10361445,,,,,,Bird Rights,$10361445
103,Al Jefferson,IND,$10230179,$9769821,$10000000,,,,Cap Space,$24000000
104,Tyreke Evans,NOP,$10203755,,,,,,Bird Rights,$10203755
105,Alec Burks,UTA,$10154495,$10845506,$11536515,,,,1st Round Pick,$32536516
106,Terrence Ross,TOR,$10000000,$10500000,$10500000,,,,Rookie scale extension,$31000000
107,Danny Green,SAS,$10000000,$10000000,$10000000,,,,Bird Rights,$20000000
108,Omer Asik,NOP,$9904494,$10595505,$11286516,$11977527,,,Bird Rights,$34786515
109,Iman Shumpert,CLE,$9700000,$10300000,$11000000,,,,Bird Rights,$31000000
110,Matthew Dellavedova,MIL,$9607500,$9607500,$9607500,$9607500,,,Cap Space,$38430000
111,Jerryd Bayless,PHI,$9424084,$9000000,$8575916,,,,Cap Space,$27000000
112,Trevor Booker,BRK,$9250000,$9125000,,,,,Cap Space,$18375000
113,Meyers Leonard,POR,$9213484,$9904495,$10595506,$11286515,,,Cap Space,$41000000
114,Gerald Henderson,PHI,$9000000,$9000000,,,,,Cap Space,$10000000
115,Deron Williams,DAL,$9000000,,,,,,Cap Space,$9000000
116,Maurice Harkless,POR,$8988764,$9662921,$10337079,$11011236,,,Cap Space,$40000000
117,Taj Gibson,CHI,$8950000,,,,,,Bird Rights,$8950000
118,Jeff Teague,IND,$8800000,,,,,,Bird Rights,$8800000
